
- - - - - Day 1 - - - - - 
name, sellIn, price
Medium Coverage, 9, 20
Full Coverage, 1, 1
Low Coverage, 4, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, 14, 23
Special Full Coverage, 9, 50
Special Full Coverage, 4, 50
Super Sale, 2, 38

- - - - - Day 2 - - - - - 
name, sellIn, price
Medium Coverage, 8, 20
Full Coverage, 0, 2
Low Coverage, 3, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, 13, 26
Special Full Coverage, 8, 50
Special Full Coverage, 3, 50
Super Sale, 1, 36

- - - - - Day 3 - - - - - 
name, sellIn, price
Medium Coverage, 7, 20
Full Coverage, -1, 3
Low Coverage, 2, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, 12, 29
Special Full Coverage, 7, 50
Special Full Coverage, 2, 50
Super Sale, 0, 34

- - - - - Day 4 - - - - - 
Medium Coverage, 6, 20
name, sellIn, price
Mega Coverage, 0, 40
Low Coverage, 1, 7
Full Coverage, -2, 4
Mega Coverage, 0, 30
Special Full Coverage, 6, 50
Special Full Coverage, 11, 32
Special Full Coverage, 1, 50
Super Sale, -1, 30

- - - - - Day 5 - - - - - 
name, sellIn, price
Full Coverage, -3, 5
Medium Coverage, 5, 20
Mega Coverage, 0, 40
Low Coverage, 0, 7
Mega Coverage, 0, 30
Special Full Coverage, 10, 35
Special Full Coverage, 5, 50
Special Full Coverage, 0, 50

- - - - - Day 6 - - - - - 
name, sellIn, price
Super Sale, -2, 26
Medium Coverage, 4, 20
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Full Coverage, -4, 6
Low Coverage, -1, 7
Special Full Coverage, 9, 38
Special Full Coverage, 4, 50
Special Full Coverage, -1, 50

- - - - - Day 7 - - - - - 
name, sellIn, price
Super Sale, -3, 22
Low Coverage, -2, 7
Full Coverage, -5, 7
Medium Coverage, 3, 20
Mega Coverage, 0, 30
Mega Coverage, 0, 40
Special Full Coverage, 8, 41
Special Full Coverage, 3, 50
Special Full Coverage, -2, 50
Super Sale, -4, 18

- - - - - Day 8 - - - - - 
name, sellIn, price
Medium Coverage, 2, 20
Full Coverage, -6, 8
Low Coverage, -3, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, 7, 44
Special Full Coverage, 2, 50
Special Full Coverage, -3, 50
Super Sale, -5, 14

- - - - - Day 9 - - - - - 
name, sellIn, price
Full Coverage, -7, 9
Medium Coverage, 1, 20
Low Coverage, -4, 7
Mega Coverage, 0, 30
Mega Coverage, 0, 40
Special Full Coverage, 6, 47
Special Full Coverage, 1, 50
Special Full Coverage, -4, 50

- - - - - Day 10 - - - - - 
Super Sale, -6, 10
name, sellIn, price
Medium Coverage, 0, 20
Full Coverage, -8, 10
Low Coverage, -5, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, 5, 50
Special Full Coverage, 0, 50
Special Full Coverage, -5, 50
Super Sale, -7, 6

- - - - - Day 11 - - - - - 
name, sellIn, price
Medium Coverage, -1, 20
Full Coverage, -9, 11
Low Coverage, -6, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, 4, 50
Special Full Coverage, -1, 50
Special Full Coverage, -6, 50

- - - - - Day 12 - - - - - 
name, sellIn, price
Medium Coverage, -2, 20
Full Coverage, -10, 12
Low Coverage, -7, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Super Sale, -8, 2
Special Full Coverage, 3, 50
Special Full Coverage, -2, 50
Super Sale, -9, 0

- - - - - Day 13 - - - - - 
name, sellIn, price
Special Full Coverage, -7, 50
Medium Coverage, -3, 20
Full Coverage, -11, 13
Low Coverage, -8, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, 2, 50
Special Full Coverage, -3, 50
Special Full Coverage, -8, 50
Super Sale, -10, 0

- - - - - Day 14 - - - - - 
name, sellIn, price
Full Coverage, -12, 14
Medium Coverage, -4, 20
Low Coverage, -9, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, 1, 50
Special Full Coverage, -4, 50
Special Full Coverage, -9, 50
Super Sale, -11, 0

- - - - - Day 15 - - - - - 
name, sellIn, price
Medium Coverage, -5, 20
Full Coverage, -13, 15
Low Coverage, -10, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, 0, 50
Special Full Coverage, -5, 50
Special Full Coverage, -10, 50
Super Sale, -12, 0

- - - - - Day 16 - - - - - 
name, sellIn, price
Medium Coverage, -6, 20
Full Coverage, -14, 16
Low Coverage, -11, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -1, 50
Special Full Coverage, -11, 50
Special Full Coverage, -6, 50
Super Sale, -13, 0

- - - - - Day 17 - - - - - 
name, sellIn, price
Medium Coverage, -7, 20
Full Coverage, -15, 17
Low Coverage, -12, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -2, 50
Special Full Coverage, -7, 50
Special Full Coverage, -12, 50
Super Sale, -14, 0

- - - - - Day 18 - - - - - 
name, sellIn, price
Medium Coverage, -8, 20
Full Coverage, -16, 18
Low Coverage, -13, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -3, 50
Special Full Coverage, -8, 50
Special Full Coverage, -13, 50
Super Sale, -15, 0

- - - - - Day 19 - - - - - 
name, sellIn, price
Medium Coverage, -9, 20
Full Coverage, -17, 19
Low Coverage, -14, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -4, 50
Special Full Coverage, -9, 50
Special Full Coverage, -14, 50
Super Sale, -16, 0

- - - - - Day 20 - - - - - 
name, sellIn, price
Medium Coverage, -10, 20
Full Coverage, -18, 20
Low Coverage, -15, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -5, 50
Special Full Coverage, -10, 50
Special Full Coverage, -15, 50
Super Sale, -17, 0

- - - - - Day 21 - - - - - 
name, sellIn, price
Medium Coverage, -11, 20
Full Coverage, -19, 21
Low Coverage, -16, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -6, 50
Special Full Coverage, -11, 50
Special Full Coverage, -16, 50
Super Sale, -18, 0

- - - - - Day 22 - - - - - 
name, sellIn, price
Medium Coverage, -12, 20
Full Coverage, -20, 22
Low Coverage, -17, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -7, 50
Special Full Coverage, -12, 50
Special Full Coverage, -17, 50
Super Sale, -19, 0

- - - - - Day 23 - - - - - 
name, sellIn, price
Medium Coverage, -13, 20
Full Coverage, -21, 23
Low Coverage, -18, 7
Mega Coverage, 0, 40
Mega Coverage, 0, 30
Special Full Coverage, -8, 50
Special Full Coverage, -13, 50
Special Full Coverage, -18, 50
Super Sale, -20, 0

- - - - - Day 24 - - - - - 
name, sellIn, price
Medium Coverage, -14, 20
Full Coverage, -22, 24
